,count_0,count_1,count_2,count_3,count_4,count_all
"World War, 1939-1945",0.035714,0.035714,0.392857,0.464286,0.071429,28.000000
Private investigators,0.392857,0.142857,0.178571,0.250000,0.035714,28.000000
JUVENILE FICTION,0.000000,0.071429,0.035714,0.357143,0.535714,28.000000
Marriage,0.037037,0.000000,0.259259,0.407407,0.296296,27.000000
New York City,0.407407,0.037037,0.333333,0.185185,0.037037,27.000000
Mothers and daughters,0.037037,0.000000,0.703704,0.185185,0.074074,27.000000
FICTION / Literary,0.000000,0.000000,0.814815,0.185185,0.000000,27.000000
Classics,0.000000,0.038462,0.038462,0.923077,0.000000,26.000000
Investigation,0.307692,0.000000,0.500000,0.153846,0.038462,26.000000
Social classes,0.038462,0.000000,0.076923,0.423077,0.461538,26.000000
Cartoons and comics,0.000000,0.038462,0.000000,0.653846,0.307692,26.000000
Travel,0.000000,0.000000,0.192308,0.769231,0.038462,26.000000
Fathers and daughters,0.076923,0.000000,0.230769,0.461538,0.230769,26.000000
Suspense fiction,0.692308,0.000000,0.230769,0.076923,0.000000,26.000000
Specimens,0.000000,0.040000,0.000000,0.960000,0.000000,25.000000
Bildungsromans,0.040000,0.000000,0.320000,0.480000,0.160000,25.000000
Revenge,0.240000,0.160000,0.080000,0.360000,0.160000,25.000000
Dating (Social customs),0.000000,0.040000,0.160000,0.000000,0.800000,25.000000
Young men,0.080000,0.040000,0.240000,0.640000,0.000000,25.000000
Female friendship,0.040000,0.000000,0.640000,0.160000,0.160000,25.000000
Married women,0.041667,0.000000,0.375000,0.583333,0.000000,24.000000
London (England),0.000000,0.125000,0.083333,0.583333,0.208333,24.000000
Secrecy,0.000000,0.000000,0.333333,0.000000,0.666667,24.000000
Crimes against,0.375000,0.041667,0.416667,0.083333,0.083333,24.000000
English language,0.083333,0.000000,0.000000,0.916667,0.000000,24.000000
Fairy tales,0.000000,0.208333,0.041667,0.583333,0.166667,24.000000
Witches,0.000000,0.333333,0.083333,0.208333,0.375000,24.000000
Italy,0.086957,0.000000,0.086957,0.652174,0.173913,23.000000
Triangles (Interpersonal relations),0.000000,0.000000,0.391304,0.434783,0.173913,23.000000
Humor,0.000000,0.043478,0.304348,0.608696,0.043478,23.000000
Translations into Russian,0.130435,0.173913,0.000000,0.695652,0.000000,23.000000
New York (State),0.043478,0.000000,0.695652,0.130435,0.130435,23.000000
Horror fiction,0.565217,0.043478,0.000000,0.347826,0.043478,23.000000
Novela,0.130435,0.043478,0.043478,0.739130,0.043478,23.000000
Family secrets,0.045455,0.000000,0.681818,0.045455,0.227273,22.000000
Life change events,0.045455,0.000000,0.727273,0.090909,0.136364,22.000000
Boys,0.045455,0.136364,0.136364,0.681818,0.000000,22.000000
literary fiction,0.090909,0.000000,0.363636,0.545455,0.000000,22.000000
Biography & Autobiography,0.000000,0.000000,0.545455,0.454545,0.000000,22.000000
Politics and government,0.045455,0.045455,0.181818,0.727273,0.000000,22.000000
Grief,0.090909,0.000000,0.318182,0.000000,0.590909,22.000000
Children,0.045455,0.090909,0.272727,0.590909,0.000000,22.000000
City and town life,0.190476,0.095238,0.380952,0.238095,0.095238,21.000000
Kings and rulers,0.000000,0.095238,0.047619,0.476190,0.380952,21.000000
science fiction,0.523810,0.238095,0.047619,0.190476,0.000000,21.000000
Women detectives,0.380952,0.000000,0.428571,0.095238,0.095238,21.000000
Philosophy,0.047619,0.047619,0.095238,0.761905,0.047619,21.000000
Historical Fiction,0.047619,0.095238,0.428571,0.380952,0.047619,21.000000
Time travel,0.095238,0.142857,0.333333,0.190476,0.238095,21.000000
New Jersey,0.047619,0.000000,0.857143,0.047619,0.047619,21.000000
Demonology,0.047619,0.190476,0.000000,0.000000,0.761905,21.000000
African Americans,0.000000,0.000000,0.380952,0.428571,0.190476,21.000000
Coming of age,0.000000,0.100000,0.100000,0.500000,0.300000,20.000000
Animals,0.050000,0.100000,0.000000,0.850000,0.000000,20.000000
Paris,0.050000,0.000000,0.200000,0.700000,0.050000,20.000000
Books and reading,0.000000,0.050000,0.100000,0.650000,0.200000,20.000000
fiction,0.200000,0.150000,0.250000,0.300000,0.100000,20.000000
Girls,0.000000,0.000000,0.300000,0.450000,0.250000,20.000000
Poetry,0.000000,0.000000,0.050000,0.950000,0.000000,20.000000
Life on other planets,0.000000,0.900000,0.000000,0.100000,0.000000,20.000000
Heroes,0.105263,0.368421,0.000000,0.052632,0.473684,19.000000
Amerikanisches Englisch,0.000000,0.105263,0.631579,0.105263,0.157895,19.000000
fantasy,0.157895,0.421053,0.052632,0.000000,0.368421,19.000000
Fairies,0.000000,0.157895,0.000000,0.105263,0.736842,19.000000
Race relations,0.000000,0.000000,0.368421,0.473684,0.157895,19.000000
Imaginary wars and battles,0.000000,0.736842,0.052632,0.052632,0.157895,19.000000
"Children's stories, English",0.000000,0.052632,0.000000,0.894737,0.052632,19.000000
Psychological aspects,0.000000,0.000000,0.263158,0.736842,0.000000,19.000000
Chicago,0.263158,0.157895,0.105263,0.263158,0.210526,19.000000
